number,word,hira,pos,prop1,sub_prop1,prop2,sub_prop2,prop3,sub_prop3,remark,meaning,cnt-word,cnt-word-hira,tmp
1,ああ,ああ,,感叹词,,,,,,,啊、嗯、啊呀、唉,1,1,"(ああ,ああ)"
2,愛,あい,五十音,名词,,动词,动3,,,他,爱情、爱好,1,1,"(愛,あい)"
3,あいさつ,あいさつ,,名词,,动词,动3,,,自,寒暄、致辞,1,1,"(あいさつ,あいさつ)"
4,合図,あいず,,名词,,,,,,,信号,1,1,"(合図,あいず)"
5,アイスクリーム,あいすくりーむ,,名词,,,,,,,冰激凌、雪糕,1,1,"(アイスクリーム,あいすくりーむ)"
6,間,あいだ,,名词,,,,,,,间隔、中间、期间,2,1,"(間,あいだ)"
7,相手,あいて,,名词,,,,,,,伙伴、对手,1,1,"(相手,あいて)"
8,アイディア,あいでぃあ,,名词,,,,,,,观念、注意、想法,1,1,"(アイディア,あいでぃあ)"
9,合う,あう,,动词,动1,,,,,自,合适、一致、合算,1,1,"(合う,あう)"
10,会う,あう,,动词,动1,,,,,自,遇见、会见,1,1,"(会う,あう)"
11,遭う,あう,,动词,动1,,,,,自,遭遇,1,1,"(遭う,あう)"
12,青,あお,,名词,,,,,,,蓝、绿色,1,1,"(青,あお)"
13,青い,あおい,五十音,形容词,形1,,,,,,蓝、发青、苍白,1,1,"(青い,あおい)"
14,赤い,あかい,五十音,形容词,形1,,,,,,红、革命,1,1,"(赤い,あかい)"
15,明かり,あかり,,名词,,,,,,,光、灯、希望,1,1,"(明かり,あかり)"
16,上がる,あがる,,动词,动1,,,,,自,上、登、升起,1,1,"(上がる,あがる)"
17,明るい,あかるい,,形容词,形1,,,,,,明亮、快活、精通,1,1,"(明るい,あかるい)"
18,秋,あき,,名词,,,,,,,秋天、秋季,1,1,"(秋,あき)"
19,明らか,あきらか,,形容词,形2,,,,,,明亮、明显、显然,1,1,"(明らか,あきらか)"
20,あきらめる,あきらめる,,动词,动2,,,,,他,断念、死心,1,1,"(あきらめる,あきらめる)"
21,飽きる,あきる,,动词,动2,,,,,自,满足、～够、～腻,1,1,"(飽きる,あきる)"
22,開く,あく,,动词,动1,,,,,自,开、开始、拉开,2,1,"(開く,あく)"
23,空く,あく,,动词,动1,,,,,自,空出、腾出、离开,1,1,"(空く,あく)"
24,握手,あくしゅ,,名词,,动词,动3,,,自,握手、和好,1,1,"(握手,あくしゅ)"
25,開ける,あける,,动词,动2,,,,,他,打开、推开,1,1,"(開ける,あける)"
26,明ける,あける,,动词,动2,,,,,自,【夜】明、过年、结束、终了,1,1,"(明ける,あける)"
27,上げる,あげる,,动词,动2,,,,,他,举、抬、提高、进步,1,1,"(上げる,あげる)"
28,挙げる,あげる,,动词,动2,,,,,他,举例、句型、检举,1,1,"(挙げる,あげる)"
29,顎,あご,,名词,,,,,,,下颚、下巴,1,1,"(顎,あご)"
30,憧れる,あこがれる,,动词,动2,,,,,他,憧憬、向往,1,1,"(憧れる,あこがれる)"
31,朝,あさ,,名词,,,,,,,早晨、午前,1,1,"(朝,あさ)"
32,浅い,あさい,,形容词,形1,,,,,,浅、不深、短浅,1,1,"(浅い,あさい)"
33,鮮やか,あざやか,,形容词,形2,,,,,,鲜明、巧妙,1,1,"(鮮やか,あざやか)"
34,足,あし,,名词,,,,,,,脚、腿、步行,1,1,"(足,あし)"
